ticker,POSITIVE,NEGATIVE,STRONGLY_NEGATIVE,STRONGLY_POSITIVE,total_trades,avg_return,median_return,win_rate,max_gain,max_loss,total_return,full_period_return
SPY,398,66,16,13,493,-0.01096728468331094,0.10495805267736191,53.7525354969574,6.586293955613442,-6.586293955613442,-5.4068713488722935,21.296090629426324
TSLA,150,98,23,4,275,-0.4627993652453577,-0.24825973881392738,47.27272727272727,20.694924281715586,-19.851331145023575,-127.26982544247336,-35.689435077708694
SPX,234,48,9,28,319,-0.12416863437271321,0.20976594025319262,55.4858934169279,6.244653695608527,-6.244653695608527,-39.609794364895514,16.49057472770079
QQQ,155,26,3,1,185,0.18566598194665065,-0.11224779527552187,47.02702702702703,7.389675949931918,-6.786693702686675,34.34820666013037,17.353857645515003
AAPL,151,48,3,2,204,0.662983146994723,0.5512801723066563,59.31372549019608,7.534208055008785,-10.867810137408407,135.2485619869235,27.694099129754825
NVDA,140,79,21,11,251,-0.28376255659223115,-0.22875726555707798,47.01195219123506,21.824466527910037,-31.347822671263327,-71.22440170465002,262.6891402704052
DXY,212,27,6,23,268,0.061019533890074786,0.03824322009538528,51.49253731343284,3.1272587703903953,-3.037768425123044,16.353235082540042,5.693173518378436
AMZN,56,39,5,7,107,-0.8782771844628168,-0.8379912419667623,39.25233644859813,10.927379902648916,-14.253727221812884,-93.9756587375214,2.55090493145691
COIN,73,72,15,9,169,-0.7600081132571088,-0.13019084858053587,47.928994082840234,18.949553601865542,-26.09511788955883,-128.4413711404514,-39.088587235164404
AMD,44,33,8,2,87,-0.3852544236827768,0.1796622428786976,52.87356321839081,13.379301180899416,-15.701487510010637,-33.51713486040158,-3.9824929051087476
